,Principal Component 1,Principal Component 2,Principal Component 3
vehicle_count_per_hour,0.20189455492906183,0.14255011346336777,0.1417234737886537
temp,0.3916258832270585,-0.35002997112336254,0.05091259037689512
feelslike,0.3926380647886892,-0.3484269892116556,0.051260008679284756
humidity,-0.29667306348372774,-0.21888847587913163,-0.21064765288339954
dew,0.2513004410289203,-0.5449608174197326,-0.064978858293526
windspeed,0.03626619615751579,0.2183922173787204,0.6672472449593565
pressure,-0.07969845093195539,0.25997085725142205,-0.581156144845635
cloudcover,-0.061940340375576664,0.19159465903750073,0.2932106079689242
solarradiation,0.40426383769759977,0.28178373599360185,-0.13740770626881532
solarenergy,0.4041604166021464,0.28188614357156627,-0.13764650943157633
uvindex,0.40281225086747735,0.2828643983411404,-0.1390641593446107
